"horas_estudio","promedio","tiempo_sin_redes","revision_dia","horas_sueno","contenido","satisfaccion_academica","satisfaccion_social","universidad","red_social_usada"
2,14.2,2,15,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
2,17,5.3,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
4,12,5,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
3.5,15.9,1.5,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
3,16,4,40,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Tiktok"
1.5,16.17,1,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Discord"
2,14.4,0.5,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
4,13.57,12,5,8,"Información (noticias , actualidad)","4","4","Privada","Whatsapp"
3,18,3,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Pública","Tiktok"
10,18,4,20,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
6,13.5,2,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
13,15.15,1,30,7,"Información (noticias , actualidad)","3","5","Privada","Whatsapp"
2,16,1,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Whatsapp"
2,16.5,3,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
3,13,4,3,6,"Información (noticias , actualidad)","4","3","Privada","Whatsapp"
4,15.15,2,3,5,"Información (noticias , actualidad)","5","3","Privada","Tiktok"
2,16.08,6,4,6,"Educación (contenido académico)","3","5","Privada","Instagram"
6.5,14.56,3,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
7,18.7,3,7,6.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Whatsapp"
4,15,2,4,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Tiktok"
5,14,5,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
4,9.8,3,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Whatsapp"
6,NA,5,3,6,"Información (noticias , actualidad)","4","3","Pública","Instagram"
8,17,NA,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
10,10,12,3,7,"Educación (contenido académico)","3","5","Pública","Whatsapp"
7,16.22,5,8,8,"Educación (contenido académico)","3","4","Privada","Instagram"
15,12,2,8,6,"Información (noticias , actualidad)","1","3","Privada","Otro"
1,17.58,2,12,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
2,NA,0,9,5,"Socializar","1","4","Privada","Tiktok"
2,15.66,3,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Instagram"
7,18,NA,3,8,"Información (noticias , actualidad)","1","1","Privada","Tiktok"
5,15.5,3,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
12,19,1,3,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Whatsapp"
2,13,2,1,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
1.0123456789,6.9,6.9,0,6.9,"Educación (contenido académico)","5","1","Privada","Otro"
3,15,2,30,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
6,17,6,20,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Tiktok"
6,14,3,20,7,"Socializar","3","3","Privada","Facebook / meta"
2,13.8,1.5,6,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Pública","Discord"
3,13,4,36,7,"Información (noticias , actualidad)","3","3","Privada","Whatsapp"
2,17,1.5,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Discord"
5,15.42,5,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
2,17.7,2,4,7.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Instagram"
5,NA,5,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Instagram"
2,14,4,6,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Whatsapp"
1.5,15.33,3,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Instagram"
3,17.2,3,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
4,15.5,1.5,3,4,"Información (noticias , actualidad)","5","5","Pública","Whatsapp"
7,16,1.5,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Pública","Whatsapp"
3,16.98,4,5,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
3,15,7,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
2,15,2,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
3,13,6,30,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
4,16,1,7,7,"Socializar","5","5","Privada","Whatsapp"
2,12,2,5,5,"Socializar","2","5","Privada","Facebook / meta"
5,NA,NA,2,7,"Información (noticias , actualidad)","5","3","Privada","Tiktok"
3,12.5,5,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
3,13.8,7,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","X (Twitter)"
2,16.58,1,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Instagram"
4,16,1,10,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
2,NA,5,15,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
1,17,5,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
3,17.8,2,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Tiktok"
10,16,4,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
2,15,1,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Whatsapp"
6,17,2,0,6,"Educación (contenido académico)","4","4","Pública","Whatsapp"
4,16.7,5,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
1,14,2,0,7,"Información (noticias , actualidad)","3","3","Privada","Tiktok"
2,17.8,2,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Instagram"
4,16,3,20,7,"Socializar","3","4","Privada","Whatsapp"
4,NA,3,30,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
3,16,5,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Facebook / meta"
2,15.8,NA,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Instagram"
3,6,4,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","X (Twitter)"
3.5,15,10,8,7.5,"Información (noticias , actualidad)","4","4","Privada","Instagram"
1.5,16,8,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
1,15,5,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
12,1,0.05,24,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","1","Pública","Otro"
5,15,NA,30,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Pública","Whatsapp"
3,15,3,4,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
2,2.3,4,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Pública","Whatsapp"
2,16.4,2,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
10,15.5,5,3,4,"Información (noticias , actualidad)","4","4","Privada","Whatsapp"
3,15,2,20,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
1.5,NA,0,NA,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","1","1","Privada","Facebook / meta"
2,15,10,7,7,"Educación (contenido académico)","3","4","Privada","Instagram"
1.3,14.25,2,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","1","Privada","Whatsapp"
2,14,6,20,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
2,14,NA,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
